file,sim_time,step,agent,dynamic_enabled,dynamic_state,dynamic_state_severity_index,dynamic_interaction_count,dynamic_state_history_len,dynamic_overall_stress,dynamic_env_stress_level,dynamic_env_comfort_level,dynamic_env_trigger_potential,dynamic_trigger_count,dynamic_trigger_names,dynamic_active_biases_count,dynamic_activated_memory_count,dynamic_last_update_time,dynamic_trigger_accum__stress,dynamic_trigger_delta__stress,dynamic_trigger_accum__support,dynamic_trigger_delta__support,dynamic_trigger_accum__学业失败,dynamic_trigger_delta__学业失败,dynamic_trigger_accum__未来焦虑,dynamic_trigger_delta__未来焦虑,dynamic_trigger_accum__社交压力,dynamic_trigger_delta__社交压力,dynamic_trigger_accum__自我价值,dynamic_trigger_delta__自我价值,dynamic_trigger_accum__自杀意念,dynamic_trigger_delta__自杀意念,dynamic_trigger_accum_total,dynamic_trigger_accum_support_total,dynamic_trigger_accum_negative_total,dynamic_trigger_support_minus_negative,dynamic_trigger_support_delta_sum,dynamic_trigger_negative_delta_sum,dynamic_wellbeing_index,dynamic_risk_index,dynamic_improvement_score_vs_start,dynamic_improvement_change_vs_prev,dynamic_improvement_status,dynamic_score_component_severity,dynamic_score_component_stress,dynamic_score_component_balance,dynamic_score_component_momentum
simulate-20260404-1930.json,20260404-19:30,11,卡布达,True,severe_episode,3,5,0,0.5,0.5,0.5,0.3,0,,2,2,2026-04-04T18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.25,58.75,6.0,4.5,轻度改善,25.0,50.0,50.0,50.0
simulate-20260404-2030.json,20260404-20:30,12,卡布达,True,severe_episode,3,6,0,0.75,1.0,0.0,0.3,4,自我价值|自杀意念|stress|support,2,2,2026-04-04T20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,66.25,-1.5,-7.5,基本持平,25.0,25.0,50.0,50.0
simulate-20260404-2130.json,20260404-21:30,13,卡布达,True,severe_episode,3,6,0,0.7,0.7,0.30000000000000004,0.3,1,stress,2,2,2026-04-04T20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,64.75,0.0,1.5,基本持平,25.0,30.0,50.0,50.0
simulate-20260404-2230.json,20260404-22:30,14,卡布达,True,severe_episode,3,7,0,0.75,1.0,0.0,0.5,5,自我价值|社交压力|自杀意念|stress|support,2,2,2026-04-04T22:30:00,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,-3.0,1.0,4.0,23.25,76.75,-12.0,-12.0,轻度恶化,25.0,25.0,20.0,20.0
simulate-20260404-2330.json,20260404-23:30,15,卡布达,True,severe_episode,3,7,0,0.75,1.0,0.0,0.5,5,自我价值|社交压力|自杀意念|stress|support,2,2,2026-04-04T22:30:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,4.0,-3.0,0.0,0.0,26.25,73.75,-9.0,3.0,轻度恶化,25.0,25.0,20.0,50.0
simulate-20260405-0030.json,20260405-00:30,16,卡布达,True,severe_episode,3,7,0,0.7,0.7,0.30000000000000004,0.5,1,stress,2,2,2026-04-04T22:30:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,4.0,-3.0,0.0,0.0,27.75,72.25,-7.5,1.5,轻度恶化,25.0,30.0,20.0,50.0
simulate-20260405-0130.json,20260405-01:30,17,卡布达,True,severe_episode,3,7,0,0.7,0.7,0.30000000000000004,0.5,1,stress,2,2,2026-04-04T22:30:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,4.0,-3.0,0.0,0.0,27.75,72.25,-7.5,0.0,轻度恶化,25.0,30.0,20.0,50.0
simulate-20260405-0230.json,20260405-02:30,18,卡布达,True,severe_episode,3,7,0,0.7,0.7,0.30000000000000004,0.5,1,stress,2,2,2026-04-04T22:30:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,4.0,-3.0,0.0,0.0,27.75,72.25,-7.5,0.0,轻度恶化,25.0,30.0,20.0,50.0
simulate-20260405-0330.json,20260405-03:30,19,卡布达,True,severe_episode,3,7,0,0.7,0.7,0.30000000000000004,0.5,1,stress,2,2,2026-04-04T22:30:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,4.0,-3.0,0.0,0.0,27.75,72.25,-7.5,0.0,轻度恶化,25.0,30.0,20.0,50.0
simulate-20260405-0430.json,20260405-04:30,20,卡布达,True,severe_episode,3,7,0,0.7,0.7,0.30000000000000004,0.5,1,stress,2,2,2026-04-04T22:30:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,4.0,-3.0,0.0,0.0,27.75,72.25,-7.5,0.0,轻度恶化,25.0,30.0,20.0,50.0
simulate-20260405-0530.json,20260405-05:30,21,卡布达,True,severe_episode,3,7,0,0.7,0.7,0.30000000000000004,0.5,1,stress,2,2,2026-04-04T22:30:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,4.0,-3.0,0.0,0.0,27.75,72.25,-7.5,0.0,轻度恶化,25.0,30.0,20.0,50.0
simulate-20260405-0630.json,20260405-06:30,22,卡布达,True,severe_episode,3,7,0,0.7,0.7,0.30000000000000004,0.5,1,stress,2,2,2026-04-04T22:30:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,4.0,-3.0,0.0,0.0,27.75,72.25,-7.5,0.0,轻度恶化,25.0,30.0,20.0,50.0
simulate-20260405-0730.json,20260405-07:30,23,卡布达,True,severe_episode,3,8,0,0.75,1.0,0.0,0.5,4,未来焦虑|自杀意念|stress|support,3,3,2026-04-05T07:30:00,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,9.0,2.0,7.0,-5.0,1.0,3.0,24.306,75.694,-10.944,-3.444,轻度恶化,25.0,25.0,22.222,25.0
simulate-20260405-0830.json,20260405-08:30,24,卡布达,True,severe_episode,3,8,0,0.7,0.7,0.30000000000000004,0.5,1,stress,3,3,2026-04-05T07:30:00,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,9.0,2.0,7.0,-5.0,0.0,0.0,28.306,71.694,-6.944,4.0,轻度恶化,25.0,30.0,22.222,50.0
simulate-20260405-0930.json,20260405-09:30,25,卡布达,True,severe_episode,3,9,0,0.75,1.0,0.0,0.5,4,自我价值|自杀意念|stress|support,2,3,2026-04-05T09:30:00,3.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,13.0,3.0,10.0,-7.0,1.0,3.0,24.519,75.481,-10.731,-3.786,轻度恶化,25.0,25.0,23.077,25.0
simulate-20260405-1030.json,20260405-10:30,26,卡布达,True,severe_episode,3,9,0,0.7,0.7,0.30000000000000004,0.5,1,stress,2,3,2026-04-05T09:30:00,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,13.0,3.0,10.0,-7.0,0.0,0.0,28.519,71.481,-6.731,4.0,轻度恶化,25.0,30.0,23.077,50.0
simulate-20260405-1130.json,20260405-11:30,27,卡布达,True,severe_episode,3,10,0,0.75,1.0,0.0,0.5,5,自我价值|社交压力|未来焦虑|stress|support,4,4,2026-04-05T11:30:00,4.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,0.0,18.0,4.0,14.0,-10.0,1.0,4.0,23.806,76.194,-11.444,-4.714,轻度恶化,25.0,25.0,22.222,20.0
simulate-20260405-1230.json,20260405-12:30,28,卡布达,True,severe_episode,3,10,0,0.7,0.7,0.30000000000000004,0.3,1,stress,4,4,2026-04-05T11:30:00,4.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,18.0,4.0,14.0,-10.0,0.0,0.0,28.306,71.694,-6.944,4.5,轻度恶化,25.0,30.0,22.222,50.0
simulate-20260405-1330.json,20260405-13:30,29,卡布达,True,severe_episode,3,11,0,0.75,1.0,0.0,0.3,3,未来焦虑|stress|support,3,1,2026-04-05T13:30:00,5.0,1.0,5.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0,0.0,3.0,0.0,21.0,5.0,16.0,-11.0,1.0,2.0,25.536,74.464,-9.714,-2.77,轻度恶化,25.0,25.0,23.81,33.333
simulate-20260405-1430.json,20260405-14:30,30,卡布达,True,severe_episode,3,11,0,0.7,0.7,0.30000000000000004,0.3,1,stress,3,1,2026-04-05T13:30:00,5.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,21.0,5.0,16.0,-11.0,0.0,0.0,28.702,71.298,-6.548,3.167,轻度恶化,25.0,30.0,23.81,50.0
simulate-20260405-1530.json,20260405-15:30,31,卡布达,True,severe_episode,3,12,0,0.75,1.0,0.0,0.3,5,学业失败|未来焦虑|自杀意念|stress|support,4,3,2026-04-05T15:30:00,6.0,1.0,6.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,3.0,0.0,4.0,1.0,26.0,6.0,20.0,-14.0,1.0,4.0,24.019,75.981,-11.231,-4.683,轻度恶化,25.0,25.0,23.077,20.0
simulate-20260405-1630.json,20260405-16:30,32,卡布达,True,severe_episode,3,12,0,0.7,0.7,0.30000000000000004,0.3,1,stress,4,3,2026-04-05T15:30:00,6.0,0.0,6.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,26.0,6.0,20.0,-14.0,0.0,0.0,28.519,71.481,-6.731,4.5,轻度恶化,25.0,30.0,23.077,50.0
simulate-20260405-1730.json,20260405-17:30,33,卡布达,True,severe_episode,3,13,0,0.75,1.0,0.0,0.3,5,学业失败|社交压力|自杀意念|stress|support,3,5,2026-04-05T17:30:00,7.0,1.0,7.0,1.0,2.0,1.0,4.0,0.0,3.0,1.0,3.0,0.0,5.0,1.0,31.0,7.0,24.0,-17.0,1.0,4.0,23.895,76.105,-11.355,-4.624,轻度恶化,25.0,25.0,22.581,20.0
simulate-20260405-1830.json,20260405-18:30,34,卡布达,True,severe_episode,3,13,0,0.7,0.7,0.30000000000000004,0.3,1,stress,3,5,2026-04-05T17:30:00,7.0,0.0,7.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,5.0,0.0,31.0,7.0,24.0,-17.0,0.0,0.0,28.395,71.605,-6.855,4.5,轻度恶化,25.0,30.0,22.581,50.0
simulate-20260405-1930.json,20260405-19:30,35,卡布达,True,severe_episode,3,14,0,0.75,1.0,0.0,0.3,3,未来焦虑|stress|support,3,1,2026-04-05T19:30:00,8.0,1.0,8.0,1.0,2.0,0.0,5.0,1.0,3.0,0.0,3.0,0.0,5.0,0.0,34.0,8.0,26.0,-18.0,1.0,2.0,25.466,74.534,-9.784,-2.929,轻度恶化,25.0,25.0,23.529,33.333
simulate-20260405-2030.json,20260405-20:30,36,卡布达,True,severe_episode,3,14,0,0.7,0.7,0.30000000000000004,0.3,1,stress,3,1,2026-04-05T19:30:00,8.0,0.0,8.0,0.0,2.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,5.0,0.0,34.0,8.0,26.0,-18.0,0.0,0.0,28.632,71.368,-6.618,3.167,轻度恶化,25.0,30.0,23.529,50.0
simulate-20260405-2130.json,20260405-21:30,37,卡布达,True,severe_episode,3,15,0,0.75,1.0,0.0,0.3,5,自我价值|未来焦虑|自杀意念|stress|support,4,3,2026-04-05T21:30:00,9.0,1.0,9.0,1.0,2.0,0.0,6.0,1.0,3.0,0.0,4.0,1.0,6.0,1.0,39.0,9.0,30.0,-21.0,1.0,4.0,24.019,75.981,-11.231,-4.613,轻度恶化,25.0,25.0,23.077,20.0
simulate-20260405-2230.json,20260405-22:30,38,卡布达,True,severe_episode,3,15,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,3,2026-04-05T21:30:00,9.0,0.0,9.0,0.0,2.0,0.0,6.0,0.0,3.0,0.0,4.0,0.0,6.0,0.0,39.0,9.0,30.0,-21.0,0.0,0.0,28.519,71.481,-6.731,4.5,轻度恶化,25.0,30.0,23.077,50.0
simulate-20260405-2330.json,20260405-23:30,39,卡布达,True,severe_episode,3,15,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,3,2026-04-05T21:30:00,9.0,0.0,9.0,0.0,2.0,0.0,6.0,0.0,3.0,0.0,4.0,0.0,6.0,0.0,39.0,9.0,30.0,-21.0,0.0,0.0,28.519,71.481,-6.731,0.0,轻度恶化,25.0,30.0,23.077,50.0
simulate-20260406-0030.json,20260406-00:30,40,卡布达,True,severe_episode,3,16,0,0.75,1.0,0.0,0.5,5,学业失败|未来焦虑|自杀意念|stress|support,4,4,2026-04-05T23:30:00,10.0,1.0,10.0,1.0,3.0,1.0,7.0,1.0,3.0,0.0,4.0,0.0,7.0,1.0,44.0,10.0,34.0,-24.0,1.0,4.0,23.932,76.068,-11.318,-4.587,轻度恶化,25.0,25.0,22.727,20.0
simulate-20260406-0130.json,20260406-01:30,41,卡布达,True,severe_episode,3,16,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,4,2026-04-05T23:30:00,10.0,0.0,10.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,4.0,0.0,7.0,0.0,44.0,10.0,34.0,-24.0,0.0,0.0,28.432,71.568,-6.818,4.5,轻度恶化,25.0,30.0,22.727,50.0
simulate-20260406-0230.json,20260406-02:30,42,卡布达,True,severe_episode,3,16,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,4,2026-04-05T23:30:00,10.0,0.0,10.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,4.0,0.0,7.0,0.0,44.0,10.0,34.0,-24.0,0.0,0.0,28.432,71.568,-6.818,0.0,轻度恶化,25.0,30.0,22.727,50.0
simulate-20260406-0330.json,20260406-03:30,43,卡布达,True,severe_episode,3,16,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,4,2026-04-05T23:30:00,10.0,0.0,10.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,4.0,0.0,7.0,0.0,44.0,10.0,34.0,-24.0,0.0,0.0,28.432,71.568,-6.818,0.0,轻度恶化,25.0,30.0,22.727,50.0
simulate-20260406-0430.json,20260406-04:30,44,卡布达,True,severe_episode,3,16,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,4,2026-04-05T23:30:00,10.0,0.0,10.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,4.0,0.0,7.0,0.0,44.0,10.0,34.0,-24.0,0.0,0.0,28.432,71.568,-6.818,0.0,轻度恶化,25.0,30.0,22.727,50.0
simulate-20260406-0530.json,20260406-05:30,45,卡布达,True,severe_episode,3,16,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,4,2026-04-05T23:30:00,10.0,0.0,10.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,4.0,0.0,7.0,0.0,44.0,10.0,34.0,-24.0,0.0,0.0,28.432,71.568,-6.818,0.0,轻度恶化,25.0,30.0,22.727,50.0
simulate-20260406-0630.json,20260406-06:30,46,卡布达,True,severe_episode,3,16,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,4,2026-04-05T23:30:00,10.0,0.0,10.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,4.0,0.0,7.0,0.0,44.0,10.0,34.0,-24.0,0.0,0.0,28.432,71.568,-6.818,0.0,轻度恶化,25.0,30.0,22.727,50.0
simulate-20260406-0730.json,20260406-07:30,47,卡布达,True,severe_episode,3,16,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,4,2026-04-05T23:30:00,10.0,0.0,10.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,4.0,0.0,7.0,0.0,44.0,10.0,34.0,-24.0,0.0,0.0,28.432,71.568,-6.818,0.0,轻度恶化,25.0,30.0,22.727,50.0
simulate-20260406-0830.json,20260406-08:30,48,卡布达,True,severe_episode,3,17,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,0,2026-04-06T07:30:00,11.0,1.0,10.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,4.0,0.0,7.0,0.0,45.0,10.0,35.0,-25.0,0.0,1.0,23.306,76.694,-11.944,-5.126,轻度恶化,25.0,30.0,22.222,0.0
